,address,chinese_company_name,company_name,district,email,fax,placement_type,telephone,valid_license
124,"Flat 1201, 12th floor, Fortress Tower, 250 King's Road, North Point, Hong Kong",None,AD-LINKAGE LIMITED,Eastern District,cs3@ad-linkage.com,29101418,Office Staff / Executive Search,29101428,2020
125,"Flat 1011-1012, 10th floor, Chevalier Commercial Centre, 8 Wang Hoi Road, Kowloon Bay, Kowloon",None,PTT RECRUITMENT LIMITED,Kwun Tong District,hr@ptt-asia.com,34212847,"Office Staff / Executive Search, Other Non-office Worker",34212845,2020
126,"Suite 121, 12th floor, Somptueux Central, 52-54 Wellington Street, Central, Hong Kong",None,mPath Asia Limited,Central and Western District,younseong@gmail.com,None,Office Staff / Executive Search,92779499,2020
127,"Flat 805-806, 8th floor, Ihome Centre, 369 Lockhart Road, Wan Chai, Hong Kong",None,Varmeego Link Limited,Wan Chai District,stephen.wong@varmeego.com,30103800,Office Staff / Executive Search,96229639,2020
128,"Room 2201, 22nd floor, Lee Garden Six, 111 Leighton Road, Causeway Bay, Hong Kong",None,CPJOBs.COM,Wan Chai District,info@cpjobs.com,None,"Office Staff / Executive Search, Other Non-office Worker",None,2020
129,"46th floor, Lee Garden One, 33 Hysan Avenue, Causeway Bay, Hong Kong",None,EFINANCIAL CAREERS PTE. LTD.,Wan Chai District,dcheng@efinancialcareers.com,None,Office Staff / Executive Search,34914731,2020
130,"Block H, 12th floor, Phase 4, Kwun Tong Industrial Centre, 436-446 Kwun Tong Road, Kwun Tong, Kowloon",None,EVENT ELITE PRODUCTION AND PROMOTION LIMITED,Kwun Tong District,enquiry@eventelite.com,30058760,Other Non-office Worker,27702370,2020
131,"Unit 3005, 30th floor, Global Gateway Tower, 63 Wing Hong Street, Cheung Sha Wan, Kowloon",None,Premiere Resources Limited,Sham Shui Po District,victoryllee@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",66448977,2020
132,"Flat 8-13, 12th floor, Lladro Centre, 72-80 Hoi Yuen Road, Kwun Tong, Kowloon",None,Krossover Recruitment,Kwun Tong District,johnnywongcy@gmail.com,None,Office Staff / Executive Search,98079638,2020
133,"21st floor, The Phoenix, 23 Luard Road, Wan Chai, Hong Kong",None,RECCELERATE,Wan Chai District,None,None,Office Staff / Executive Search,None,2020
134,"Unit 14, 5th floor, New City Centre, 2 Lei Yue Mun Road, Kwun Tong, Kowloon",None,GiTEC Consulting Solutions Limited,Kwun Tong District,HR@GiTEC.HK,37441047,"Local Domestic Helpers, Office Staff / Executive Search",35292300,2020
135,"Room 1204, 12th floor, Telford House, 16 Wang Hoi Road, Kowloon Bay, Kowloon",None,BE MY MAID,Kwun Tong District,info@bemymaid.co,None,"Local Domestic Helpers, Foreign Domestic Helpers",93565885,2020
136,"19th floor, Two International Finance Centre, 8 Finance Street, Central, Hong Kong",None,Elliot & Partners Limited,Central and Western District,randy.chan@elliotglobal.com,None,Office Staff / Executive Search,36112147,2020
137,"1st floor, House 102, Lo Uk Tsuen, Ha Tsuen, Tin Shui Wai, New Territories",None,Judy Mothers Care Company,Yuen Long District,judymothercare@gmail.com,None,Other Non-office Worker,63900499 / 93433847,2020
138,"5th floor, Bonham Trade Centre, 50 Bonham Strand, Sheung Wan, Hong Kong",None,Resilient Partner Limited,Central and Western District,zellerfx@gmail.com,None,Office Staff / Executive Search,61138157,2020
139,"Room 602, 6th floor, Wah Yuen Building, 149 Queen's Road Central, Central, Hong Kong",None,VIRTO SEARCH LIMITED,Central and Western District,f.sasso@virtosearch.com,82066776,Office Staff / Executive Search,82020006,2020
140,"Room 177, 8th floor, Eton Tower, 8 Hysan Avenue, Causeway Bay, Hong Kong",None,J4G HR LIMITED,Wan Chai District,takeuchi@j4g.com.hk,None,Office Staff / Executive Search,60898995,2020
141,"Suite 811, 8th floor, East Wing, Tsim Sha Tsui Centre, 66 Mody Road, Tsim Sha Tsui East, Kowloon",None,MB PEOPLE,Yau Tsim Mong District,rainy@ibchk.com,27213881,Office Staff / Executive Search,22686888,2020
142,"21st floor, CMA Building, 64 Connaught Road Central, Central, Hong Kong",None,TALENT-ABLE CONSULTANCY,Central and Western District,phoebe.cheng@talent-able.com,None,Office Staff / Executive Search,64621182,2020
143,"12th floor, Yat Chau Building, 258-262 Des Voeux Road Central, Sheung Wan, Hong Kong",None,AHT CO LIMITED,Central and Western District,auauau88@hotmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search",90969433,2020
144,"16th floor, Kam Fung Commercial Building, 2-4 Tin Lok Lane, Wan Chai, Hong Kong",None,FORTUNE LINK INTERNATIONAL LIMITED,Wan Chai District,fortunelinkil@gmail.com,25729726,Foreign Domestic Helpers,25754213,2020
145,"Unit 1201-03, 12th floor, Podium Plaza, 5 Hanoi Road, Tsim Sha Tsui, Kowloon",None,Belle & Partners Limited,Yau Tsim Mong District,sycdennis@gmail.com,None,Office Staff / Executive Search,None,2020
146,"Flat 2207, 22nd floor, Tower II, Lippo Centre, 89 Queensway, Admiralty, Hong Kong",None,Legal Connections Limited,Central and Western District,INFO@LEGALCONNECTIONS.ASIA,21807560,Office Staff / Executive Search,21800718,2020
147,"Room 1-3, 19th floor, Lucky Building, 39 Wellington Street, Central, Hong Kong",None,BOYDEN ASIA PACIFIC LIMITED,Central and Western District,llam@boyden.com,None,Office Staff / Executive Search,29141866,2020
148,"Room 603, 6th floor, Tower II, Lippo Centre, 89 Queensway, Admiralty, Hong Kong",None,THE INGENIUM GROUP LIMITED,Central and Western District,sharon@ingeniumgroup.com,25300880,Office Staff / Executive Search,25301618,2020
149,"Room 13, 48th floor, Office Tower, Langham Place, 8 Argyle Street, Mong Kok, Kowloon",None,Loop Staffing Lab,Yau Tsim Mong District,toddwong@sixpeoplemap.com,,Office Staff / Executive Search,21513009,2020
150,"Room 123, 32nd floor, Hysan Place, 500 Hennessy Road, Causeway Bay, Hong Kong",None,PTS Managed Services Limited,Wan Chai District,info@ptsconsulting.com.hk,36585001,Office Staff / Executive Search,36585000,2020
151,"Unit 1005, 10th floor, World-Wide House, 19 Des Voeux Road Central, Central, Hong Kong",None,Argyll Scott Interim Limited,Central and Western District,Kleeny.wong@argyllscott.com.hk,None,Office Staff / Executive Search,36955180,2020
152,"Room 1107, 11th floor, Yu Sung Boon Building, 107-111 Des Voeux Road Central, Central, Hong Kong",None,LEGEND INTERNATIONAL CONSULTING LIMITED,Central and Western District,info@legendconsulting.com.hk,None,Office Staff / Executive Search,36925772,2020
153,"6th floor, The Gateway Tower 2, 25 Canton Road, Tsim Sha Tsui, Kowloon",None,BTI EXECUTIVE SEARCH,Yau Tsim Mong District,None,None,Office Staff / Executive Search,None,2020
154,"Unit 2202, 22nd floor, West Exchange Tower, 322 Des Voeux Road Central, Sheung Wan, Hong Kong",None,Talent APEC Limited,Central and Western District,info@apec-capital.com,22105005,Office Staff / Executive Search,22185111,2020
155,"Room 8V, 8th floor, Haribest Industrial Building, 45-47 Au Pui Wan Street, Fo Tan, New Territories",None,Kuma Bear Recruitment Company,Sha Tin District,mingtakcheng@gmail.com,26533903,Office Staff / Executive Search,61715178,2020
156,"Office 12104, 12th floor, YF Life Tower, 33 Lockhart Road, Wan Chai, Hong Kong",None,Safeguard Global Employer of Record Services,Wan Chai District,juliusranta@safeguardglobal.com,None,Office Staff / Executive Search,61613306,2020
157,"Room A11, 11th floor, Cheung Lung Industrial Building, 10 Cheung Yee Street, Lai Chi Kok, Kowloon",None,Talent Fields Hong Kong Company Limited,Sham Shui Po District,tim@talentfieldshk.com,30119504,Office Staff / Executive Search,95101770,2020
158,"Unit 51, 1st floor, Wah Lai Mansion, 62-76 Marble Road, North Point, Hong Kong",None,TRIZTAN CONSULTANCY COMPANY,Eastern District,Triztanconsultancy@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",91590439,2020
159,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",None,PATHSIGHT LIMITED,Central and Western District,pinkyliu518@gmail.com,None,Office Staff / Executive Search,62738691,2020
160,"Room 4110, 41st floor, One Midtown, 11 Hoi Shing Road, Tsuen Wan, New Territories",None,MERIT ENTREPRENEUR LIMITED,Tsuen Wan District,joycecheung@merit-entrepreneur.com,None,"Office Staff / Executive Search, Other Non-office Worker",26686938,2020
161,"Room 1304, 13th floor, Golden Gate Commercial Building, 136-138 Austin Road, Tsim Sha Tsui, Kowloon",None,Human Market Consulting Limited,Yau Tsim Mong District,poyu714@gmail.com,None,"Office Staff / Executive Search, Other Non-office Worker",21608937,2020
162,"Unit 7, 8th floor, Arion Commercial Centre, 2-12 Queen's Road West, Sheung Wan, Hong Kong",None,ARGES GLOBAL LIMITED,Central and Western District,swapna.kotkar@argesglobal.com,26200048,"Office Staff / Executive Search, Other Non-office Worker",26200054 / 26200055 / 26200056,2020
163,"Room 7B, 7th floor, One Capital Place, 18 Luard Road, Wan Chai, Hong Kong",None,Geroge Moris Consulting Limited,Wan Chai District,lailailun@hotmail.com,None,Office Staff / Executive Search,63434000,2020
164,"Room 201, 2nd floor, Eton Tower, 8 Hysan Avenue, Causeway Bay, Hong Kong",None,Lobahn Technology Limited,Wan Chai District,paul.curley@gmail.com,None,Office Staff / Executive Search,91514706,2020
165,"Room A, 12th floor, Kiu Fu Commercial Building, 300 Lockhart Road, Wan Chai, Hong Kong",None,KuanHong Engineering Limited,Wan Chai District,nelson.koo@kuanhong.com.hk,None,"Office Staff / Executive Search, Other Non-office Worker",93543894,2020
166,"Room 602, 6th floor, Wah Yuen Building, 149 Queen's Road Central, Central, Hong Kong",None,AlterSmith Group Limited,Central and Western District,stephensmith81@outlook.com,82066776,Office Staff / Executive Search,82022983,2020
167,"Room 1213, 12th floor, Tower A, Hunghom Commercial Centre, 39 Ma Tau Wai Road, Hung Hom, Kowloon",None,ADDISON KALLIAS LIMITED,Kowloon City District,kwong@akallias.com,None,"Office Staff / Executive Search, Other Non-office Worker",96947486,2020
168,"Unit 1101-1103, 11th floor, Strand 50, 50 Bonham Strand, Sheung Wan, Hong Kong",None,DJRECRUIT ASIA,Central and Western District,stanley.ksj@gmail.com,None,Office Staff / Executive Search,36199860,2020
169,"Unit B, 12th floor, Hang Seng Causeway Bay Building, 28 Yee Wo Street, Causeway Bay, Hong Kong",None,VK Partners Limited,Wan Chai District,info@vkpartners.net,None,Office Staff / Executive Search,39979465,2020
170,"Unit 1206, 12th floor, Austin Plaza, 83 Austin Road, Tsim Sha Tsui, Kowloon",None,Legal & Compliance,Yau Tsim Mong District,None,None,Office Staff / Executive Search,None,2020
171,"Shop 13, Basement, Maximall, 233 Electric Road, North Point, Hong Kong",None,IGME CONSULTANCY,Eastern District,hkeddi3@gmail.com,None,"Foreign Domestic Helpers, Imported Worker","61364374 , 67033840",2020
172,"Unit 1112, 11th floor, Wing On Plaza, 62 Mody Road, Tsim Sha Tsui East, Kowloon",None,GLOBAL LEGAL RECRUITMENT LIMITED,Yau Tsim Mong District,davidryan@globallegal.co,None,Office Staff / Executive Search,+44 747 477 8935,2020
173,"Suite B, 12th floor, Two Chinachem Plaza, 135 Des Voeux Road Central, Central, Hong Kong",None,PAMILI INVESTMENTS LIMITED,Central and Western District,angel@pamili-investments.com,None,Office Staff / Executive Search,94001668,2020
174,"Room 1903, 19th floor, Emperor Group Centre, 288 Hennessy Road, Wan Chai, Hong Kong",None,WINCHESTER GROUP LIMITED,Wan Chai District,robert.conway@winchester-search.com,None,Office Staff / Executive Search,56831300,2020
175,"Unit 1, 15th floor, Jupiter Tower, 9 Jupiter Street, Fortress Hill, Hong Kong",None,Aspire Connections Limited,Eastern District,mali_pan@yahoo.com,None,Office Staff / Executive Search,63232150,2020
176,"Flat E, 21st floor, Block 8, The Long Beach, 8 Hoi Fai Road, Tai Kok Tsui, Kowloon",None,Pinnacle Lead Consulting Limited,Yau Tsim Mong District,RYANSONON@HOTMAIL.COM,None,"Office Staff / Executive Search, Other Non-office Worker",63596602,2020
177,"Room 1201, 12th floor, Chinachem Johnston Plaza, 178-186 Johnston Road, Wanchai, Hong Kong",None,MASTARS WORLDWIDE CONSULTANT AGENCY,Wan Chai District,ivy.ma@mastars-worldwide.com,None,"Office Staff / Executive Search, Imported Worker, Other Non-office Worker",59618528,2020
178,"Level 38, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong",None,HELPER 2 INTERNATIONAL,Central and Western District,66311388jo@gmail.com,None,Foreign Domestic Helpers,66311388,2020
179,"Room A, 29th floor, United Centre, 95 Queensway, Admiralty, Hong Kong",None,Forsythe Consulting Limited,Central and Western District,mic4sythe@gmail.com,None,Office Staff / Executive Search,51156212,2020
180,"Room 1005, 10th floor, Hip Kwan Commercial Building, 38 Pitt Street, Yau Ma Tei, Kowloon",None,Pebble Solution,Yau Tsim Mong District,info@pebble.hk,None,Office Staff / Executive Search,65029706,2020
181,"14th floor, China Hong Kong Tower, 8 Hennessy Road, Wan Chai, Hong Kong",None,Nursing Resources Limited,Wan Chai District,mardel_wayet@yahoo.com,31242783,Other Non-office Worker,31050109,2020
182,"Room 1708, 17th floor, Wealth Commercial Centre, 48 Kwong Wa Street, Mong Kok, Kowloon",None,Mavence Group Limited,Yau Tsim Mong District,contact@mavencegroup.com,None,Office Staff / Executive Search,None,2020
183,"Room 1601, 16th floor, Keybond Commercial Building, 38 Ferry Street, Yau Ma Tei, Kowloon",None,L.R.B. FOREIGN DOMESTIC HELPER AGENCY,Yau Tsim Mong District,shreenetbasant9@gmail.com,27221886,"Local Domestic Helpers, Foreign Domestic Helpers",27221898,2020
184,"Flat B2-1, 9th floor, Block B, Mow Hing Factory Building, 205 Wai Yip Street, Kwun Tong, Kowloon",None,HELPER 2 INTERNATIONAL,Kwun Tong District,helperwingsa48a@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",66311388,2020
185,"Room 20, 18th floor, Tower 535, 535 Jaffe Road, Causeway Bay, Hong Kong",None,TMS HOLDING LIMITED,Wan Chai District,samantha.wong@tms.careers,None,Office Staff / Executive Search,36140075,2020
186,"Block E, 14th floor, 1 Shansi Street, Ho Man Tin, Kowloon",None,PRINCE EDWARD ROAD MANAGEMENT COMPANY LIMITED,Kowloon City District,virginiamoopenn@perm.com.hk / lewisleung@perm.com.hk,None,Office Staff / Executive Search,27393188,2020
187,"Flat B, 23rd floor, Block 2, Le Sommet, 28 Fortress Hill Road, North Point, Hong Kong",None,T & F Company,Eastern District,None,None,Office Staff / Executive Search,92688193,2020
188,"Flat A11, 11th floor, Cheung Lung Industrial Building, 10 Cheung Yee Street, Cheung Sha Wan, Kowloon",None,ATLAS SEARCH LIMITED,Sham Shui Po District,None,None,Office Staff / Executive Search,55957070,2020
189,"29th floor, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong",None,CHAPMAN ANDREWS PERSONNEL LIMITED,Central and Western District,nina@chapmanandrews.com,25230003,Office Staff / Executive Search,68595603,2020
190,"Unit 1101, 11th floor, Luk Yu Building, 24 Stanley Street, Central, Hong Kong",None,Apollo Search Partners Limited,Central and Western District,justinmclennan@yahoo.com,21479311,Office Staff / Executive Search,91796220,2020
191,"Flat B2, 10th floor, Chung Hing Commercial Building, 62-63 Connaught Road Central, Central, Hong Kong",None,KIN HANG AGENCY,Central and Western District,None,None,Foreign Domestic Helpers,60862022,2020
192,"2nd floor, Eton Tower, 8 Hysan Avenue, Causeway Bay, Hong Kong",None,KITE SEARCH LIMITED,Wan Chai District,acompton@kite-search.com,None,Office Staff / Executive Search,None,2020
193,"Room 903, 9th floor, OfficePlus @ WanChai, 303 Hennessy Road, Wan Chai, Hong Kong",None,Captivate Management,Wan Chai District,contactus@captivatemanagement.com,25062796,Office Staff / Executive Search,29796727,2020
194,"30th floor, Grandion Plaza, 932 Cheung Sha Wan Road, Lai Chi Kok, Kowloon",None,JDT Consulting Limited,Sham Shui Po District,danny.chan@jdt.consulting,21710568,Office Staff / Executive Search,21710504,2020
195,"20th floor, Central Tower, 28 Queen's Road Central, Central, Hong Kong",None,Boyden Greater China Limited,Central and Western District,william.farrell@boyden.com,21599688,Office Staff / Executive Search,21599682,2021
196,"Flat C, 27th floor, The Rednaxela, 1 Rednaxela Terrace, Mid-Levels, Hong Kong",None,Artis Talent Consulting Limited,Central and Western District,None,None,Office Staff / Executive Search,64150531,2020
197,"Room B, 14th floor, Wing Cheong Commercial Building, 19-25 Jervois Street, Sheung Wan, Hong Kong",None,PIONEER CONSULTANCY LIMITED,Central and Western District,yaoyaoandco@gmail.com,28510828,Office Staff / Executive Search,28512781,2020
198,"Unit B6, 1st floor, King Yip Factory Building, 59 King Yip Street, Kwun Tong, Kowloon",None,JB EMPLOYMENT AGENCY,Kwun Tong District,None,None,Foreign Domestic Helpers,None,2020
199,"Room 2301, 23rd floor, Tesbury Centre, 28 Queen's Road East, Wan Chai, Hong Kong",None,OPTIMUM SOLUTIONS (HONG KONG) LIMITED,Wan Chai District,siddharth@theoptimum.net,None,Office Staff / Executive Search,25308141,2020
200,"26th floor, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",None,LAURIS WALTON,Central and Western District,christine.lau@lauriswalton.com,None,Office Staff / Executive Search,95822387,2020
201,"Flat A2, 13th floor, Kin Lee Building, 138-146 Jaffe Road, Wan Chai, Hong Kong",None,T & J Consultants,Wan Chai District,tnjconsultants@outlook.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker",22858438,2020
202,"Flat 4C, 4th floor, Ying King Mansion, 192-198 Hennessy Road, Wan Chai, Hong Kong",None,CONSTANT CONSULTANCY,Wan Chai District,business.wingfitleung@gmail.com,None,Office Staff / Executive Search,61651559,2020
